node,jenis,seq,latency_ms,received_at
node1,raw,101,95.0,2026-07-22T00:41:35.606Z
node1,prediksi,101,101.0,2026-07-22T00:41:35.704Z
node2,raw,102,87.0,2026-07-22T00:41:36.915Z
node3,raw,104,66.0,2026-07-22T00:41:38.212Z
node1,raw,102,79.0,2026-07-22T00:41:39.542Z
node2,raw,103,89.0,2026-07-22T00:41:40.870Z
node2,prediksi,103,76.0,2026-07-22T00:41:40.950Z
node3,raw,105,70.0,2026-07-22T00:41:42.169Z
node3,prediksi,105,65.0,2026-07-22T00:41:42.239Z
node1,raw,103,80.0,2026-07-22T00:41:43.497Z
node1,prediksi,103,72.0,2026-07-22T00:41:43.572Z
node3,raw,106,77.0,2026-07-22T00:41:46.501Z
node1,raw,104,85.0,2026-07-22T00:41:47.827Z
node2,raw,104,87.0,2026-07-22T00:41:49.161Z
node3,raw,107,78.0,2026-07-22T00:41:50.469Z
node3,prediksi,107,73.0,2026-07-22T00:41:50.547Z
node1,raw,105,73.0,2026-07-22T00:41:51.782Z
node1,prediksi,105,69.0,2026-07-22T00:41:51.855Z
node2,raw,105,80.0,2026-07-22T00:41:53.107Z
node2,prediksi,105,73.0,2026-07-22T00:41:53.191Z
node3,raw,108,67.0,2026-07-22T00:41:54.412Z
node1,raw,106,81.0,2026-07-22T00:41:55.744Z
node2,raw,106,71.0,2026-07-22T00:41:57.054Z
node3,raw,109,73.0,2026-07-22T00:41:58.374Z
node3,prediksi,109,66.0,2026-07-22T00:41:58.443Z
node1,raw,107,89.0,2026-07-22T00:41:59.708Z
node1,prediksi,107,65.0,2026-07-22T00:41:59.776Z
node2,raw,107,75.0,2026-07-22T00:42:01.012Z
node2,prediksi,107,70.0,2026-07-22T00:42:01.086Z
node3,raw,110,75.0,2026-07-22T00:42:02.330Z
node1,raw,108,82.0,2026-07-22T00:42:03.655Z
node2,raw,108,70.0,2026-07-22T00:42:04.961Z
node3,raw,111,75.0,2026-07-22T00:42:06.283Z
node3,prediksi,111,73.0,2026-07-22T00:42:06.360Z
node1,raw,109,76.0,2026-07-22T00:42:07.603Z
node1,prediksi,109,67.0,2026-07-22T00:42:07.674Z
node2,raw,109,83.0,2026-07-22T00:42:08.927Z
node2,prediksi,109,74.0,2026-07-22T00:42:09.005Z
node3,raw,112,78.0,2026-07-22T00:42:10.260Z
node1,raw,110,82.0,2026-07-22T00:42:11.582Z
node2,raw,110,90.0,2026-07-22T00:42:12.908Z
node3,raw,113,74.0,2026-07-22T00:42:14.210Z
node3,prediksi,113,71.0,2026-07-22T00:42:14.287Z
node1,raw,111,77.0,2026-07-22T00:42:15.531Z
node1,prediksi,111,73.0,2026-07-22T00:42:15.611Z
node2,raw,111,74.0,2026-07-22T00:42:16.846Z
node2,prediksi,111,68.0,2026-07-22T00:42:16.919Z
node3,raw,114,70.0,2026-07-22T00:42:18.161Z
node1,raw,112,92.0,2026-07-22T00:42:19.502Z
node2,raw,112,95.0,2026-07-22T00:42:20.822Z
node3,raw,115,332.0,2026-07-22T00:42:22.378Z
node3,prediksi,115,67.0,2026-07-22T00:42:22.459Z
node1,raw,113,73.0,2026-07-22T00:42:23.436Z
node1,prediksi,113,68.0,2026-07-22T00:42:23.508Z
node2,raw,113,78.0,2026-07-22T00:42:24.760Z
node2,prediksi,113,72.0,2026-07-22T00:42:24.836Z
node3,raw,116,67.0,2026-07-22T00:42:26.066Z
node1,raw,114,71.0,2026-07-22T00:42:27.387Z
node2,raw,114,69.0,2026-07-22T00:42:28.706Z
node3,raw,117,76.0,2026-07-22T00:42:30.028Z
node3,prediksi,117,77.0,2026-07-22T00:42:30.108Z
node1,raw,115,76.0,2026-07-22T00:42:31.367Z
node1,prediksi,115,68.0,2026-07-22T00:42:31.440Z
node2,raw,115,76.0,2026-07-22T00:42:32.684Z
node2,prediksi,115,78.0,2026-07-22T00:42:32.772Z
node3,raw,118,70.0,2026-07-22T00:42:33.996Z
node1,raw,116,83.0,2026-07-22T00:42:35.327Z
node2,raw,116,75.0,2026-07-22T00:42:36.637Z
